GID_2,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,light_mean
HKG.15_1,CHN,China,CHN.HKG,Hong Kong,NA,Wan Chai,NA,NA,District,District,NA,HK.WC,47.5805171529452
HKG.16_1,CHN,China,CHN.HKG,Hong Kong,NA,Wong Tai Sin,NA,NA,District,District,NA,HK.WT,42.3965587615967
HKG.17_1,CHN,China,CHN.HKG,Hong Kong,NA,Yau Tsim Mong,NA,NA,District,District,NA,HK.YT,89.9211280822754
HKG.18_1,CHN,China,CHN.HKG,Hong Kong,NA,Yuen Long,NA,NA,District,District,NA,HK.YL,21.6028483102009
CHN.13.1_1,CHN,China,CHN.13_1,Hubei,湖北,Enshi Tujia and Miao,Ēnshī Tǔjiāzú|Miáozú,恩施土家族苗族自治州,Zìzhìzhou,Autonomous Prefecture,NA,NA,0.373479182263454
CHN.13.2_1,CHN,China,CHN.13_1,Hubei,湖北,Ezhou,Èzhōu,鄂州市,Dìjíshì,Prefecture City,NA,NA,3.08119761187039
CHN.13.3_1,CHN,China,CHN.13_1,Hubei,湖北,Huanggang,Huánggāng,黄冈市,Dìjíshì,Prefecture City,NA,NA,0.525210342324223
CHN.13.4_1,CHN,China,CHN.13_1,Hubei,湖北,Huangshi,Huángshí,黄石市,Dìjíshì,Prefecture City,NA,NA,1.2496922442657
CHN.13.5_1,CHN,China,CHN.13_1,Hubei,湖北,Jingmen,Jīngmén,荆门市,Dìjíshì,Prefecture City,NA,NA,0.535748989889065
CHN.13.6_1,CHN,China,CHN.13_1,Hubei,湖北,Jingzhou,Jīngzhōu,荆州市,Dìjíshì,Prefecture City,NA,NA,0.728137648513161
CHN.13.7_1,CHN,China,CHN.13_1,Hubei,湖北,Qianjiang,Qiánjiāng,潜江市,Dìjíshì,Prefecture City,NA,NA,1.03251758017696
CHN.13.8_1,CHN,China,CHN.13_1,Hubei,湖北,Shennongjia,Shénnóngjià Línqū,神农架林区,Dìqu,Prefecture,NA,NA,0.207740245529104
CHN.13.9_1,CHN,China,CHN.13_1,Hubei,湖北,Shiyan,Shíyàn,十堰市,Dìjíshì,Prefecture City,NA,NA,0.365522113769747
CHN.13.10_1,CHN,China,CHN.13_1,Hubei,湖北,Suizhou Shi,Suízhōu,随州市,Dìjíshì,Prefecture City,NA,NA,0.472224435893936
CHN.13.11_1,CHN,China,CHN.13_1,Hubei,湖北,Tianmen,Tiānmén,天门市,Dìjíshì,Prefecture City,NA,NA,0.704152088807154
