province,year,eff,lntl,ind,urb,rd,open,es,fitted,resid,std_resid
广西,2017,0.3265951527334279,0.470180113,0.4022,0.5059,0.0077,0.2112,0.42386227,0.3174816881728568,0.00911346456057107,0.1941068647463095
新疆,2017,0.2949627465391562,0.575053302,0.398,0.519,0.0052,0.1279,0.315357467,0.29453140151137897,0.0004313450277772385,0.009187179080938381
江苏,2017,0.7419867127755329,1.607411526,0.4502,0.7018,0.0263,0.4658,0.331560618,0.8037161427238375,-0.06172942994830469,-1.3147695950541471
江西,2017,0.4229314244793223,0.515992826,0.4812,0.557,0.0128,0.1505,0.482443162,0.40384745420944373,0.019083970269878577,0.40646777209454454
河北,2017,0.2732888330447559,0.847509626,0.4658,0.5574,0.0133,0.0993,0.588564846,0.2577967549025785,0.015492078142177405,0.3299643836431897
河南,2017,0.3375563304801622,0.879819394,0.4737,0.5056,0.0131,0.1175,0.36931778,0.34194280850764375,-0.004386478027481539,-0.09342720230424209
浙江,2017,0.5653407000920019,1.352066967,0.4295,0.6891,0.0245,0.4946,0.148109777,0.5358671472421804,0.029473552849821453,0.6277545601444684
海南,2017,0.9421796080508884,1.212201955,0.2233,0.5804,0.0052,0.1575,0.099196021,0.8606504041816713,0.08152920386921714,1.7364832049475543
湖北,2017,0.3778233514035932,0.651975419,0.4352,0.5988,0.0197,0.0884,0.460921051,0.371160181548313,0.006663169855280196,0.14191825746228776
湖南,2017,0.3858036344401472,0.524222134,0.4175,0.5462,0.0168,0.0718,0.546988503,0.4027213824475604,-0.016917748007413178,-0.36032959830606026
甘肃,2017,0.3938647688121444,0.445784714,0.3434,0.4812,0.0119,0.0437,0.364730401,0.38378767633684335,0.010077092475301051,0.2146310893227136
福建,2017,0.405297620980829,1.322871989,0.4771,0.6578,0.0169,0.3601,0.288372825,0.40482622131499413,0.0004713996658348837,0.010040299226437748
贵州,2017,0.3471599129012762,0.561774114,0.4009,0.4776,0.0071,0.0407,0.558226877,0.33410782550470297,0.013052087396573188,0.277995239472889
辽宁,2017,0.3407071041763855,0.809513352,0.393,0.6949,0.0184,0.2883,0.356825877,0.3435913840309498,-0.002884279854564315,-0.06143201807604721
重庆,2017,0.4498974587388517,0.627281839,0.4419,0.65,0.0188,0.2321,0.346142945,0.4261155068586043,0.023781951880247384,0.5065296612875787
陕西,2017,0.3668164483642979,0.667160257,0.497,0.5807,0.021,0.1242,0.426510518,0.3365488416838803,0.0302676066804176,0.6446670415034957
青海,2017,0.9398801871172894,0.360255076,0.4429,0.5545,0.0068,0.017,0.242700133,0.9990889503534657,-0.059208763236176264,-1.2610821407046262
黑龙江,2017,0.3388991608377488,0.414024517,0.2553,0.619,0.0092,0.0806,0.423307433,0.3125391441546173,0.026360016683131475,0.5614396324269503
上海,2018,0.5393823316256199,2.846855368,0.2978,0.8913,0.0416,1.0408,0.133086962,0.5846395067192603,-0.04525717509364051,-0.9639285154745628
云南,2018,0.2996437682230934,0.394387997,0.3891,0.4744,0.0105,0.1102,0.496666828,0.30814784893044567,-0.008504080707352243,-0.18112765268165817
内蒙古,2018,0.3483358892775954,0.455073816,0.3937,0.6551,0.0075,0.0598,0.492439433,0.3387431764866604,0.009592712790935001,0.20431432984510728
北京,2018,0.8854990485752747,1.714485944,0.1863,0.8709,0.0617,0.8966,0.016323334,0.964795935325108,-0.07929688674983328,-1.6889372827262945
吉林,2018,0.3928027980757418,0.491865136,0.4253,0.6085,0.0076,0.0904,0.337867831,0.35939571837605905,0.033407079699682776,0.7115343959190383
四川,2018,0.4304708743279495,0.636037194,0.3767,0.535,0.0181,0.1462,0.294511973,0.44369014119783845,-0.013219266869888974,-0.28155598008910404
天津,2018,0.6720824742167901,1.964186177,0.4046,0.8395,0.0262,0.4296,0.22606132,0.656738498418547,0.015343975798243113,0.3268099650956002
宁夏,2018,0.5198050398940012,0.76293772,0.4454,0.6215,0.0123,0.0672,0.553266134,0.520342134634831,-0.0005370947408299093,-0.01143953273986178
安徽,2018,0.3697627857412565,1.00809717,0.4613,0.5565,0.0216,0.138,0.400115201,0.364626325231389,0.005136460509867515,0.10940101196828916
山东,2018,0.5357235211650353,1.063354876,0.4399,0.6146,0.0215,0.2524,0.302448546,0.5154558668302898,0.02026765433474551,0.43167895288692254
山西,2018,0.3074492353099122,0.710881286,0.4215,0.5985,0.0105,0.0814,0.547796458,0.2983995209019557,0.009049714407956475,0.19274905596032324
广东,2018,0.9388331995578508,1.704219573,0.4183,0.7181,0.0278,0.7361,0.171627155,0.9818436454494167,-0.04301044589156588,-0.9160756315959695
广西,2018,0.3399273133914116,0.501536567,0.3967,0.5182,0.0071,0.2017,0.40317647,0.3265497133230118,0.013377600068399779,0.28492830469122726
新疆,2018,0.2964020163580027,0.592943512,0.4036,0.5401,0.0053,0.1087,0.278665532,0.28767329667030817,0.00872871968769451,0.18591221818737158
江苏,2018,0.8012942222315311,1.647892731,0.4455,0.7119,0.027,0.473,0.301319363,0.8361077726991916,-0.03481355046766048,-0.7414906907304128
江西,2018,0.4273526847946677,0.540922483,0.4662,0.5734,0.0141,0.1438,0.437386791,0.42027793153240817,0.007074753262259549,0.1506845355532798
河北,2018,0.2819449766076745,0.854078073,0.4454,0.5733,0.0139,0.0987,0.573307962,0.2655919706239771,0.016353005983697388,0.3483012085663098
河南,2018,0.3710701562547597,0.914965962,0.4585,0.5224,0.014,0.1147,0.337963641,0.3565757536743218,0.014494402580437904,0.3087149812851547
浙江,2018,0.6079819602556331,1.403207585,0.4183,0.7002,0.0257,0.5073,0.127407298,0.572089391679085,0.035892568576548156,0.7644726007086264
海南,2018,0.9064950043571234,1.24570646,0.2268,0.5913,0.0056,0.1755,0.101810757,0.8893271898950708,0.01716781446205267,0.3656557413075162
湖北,2018,0.4130352712187702,0.688812931,0.4341,0.61,0.0209,0.0885,0.392890652,0.4064236148835926,0.006611656335177657,0.14082107561528628
湖南,2018,0.4281556794939887,0.541396487,0.3968,0.5609,0.0181,0.0844,0.472482466,0.43342975201667894,-0.005274072522690234,-0.11233199789388411
甘肃,2018,0.4001322464087809,0.461733585,0.3389,0.4969,0.0118,0.048,0.319567599,0.39665302001617997,0.0034792263926009684,0.07410373105879171
福建,2018,0.4109125185685708,1.368982464,0.4813,0.6698,0.018,0.3448,0.285752506,0.42389489793972185,-0.01298237937115106,-0.2765105344880372
贵州,2018,0.3454913899152027,0.550188723,0.3887,0.4954,0.0082,0.0338,0.475500718,0.34558731873230636,-9.592881710367152e-05,-0.002043179276449241
辽宁,2018,0.3535199805461939,0.830655994,0.396,0.7026,0.0182,0.2985,0.349039977,0.37022676320322184,-0.016706782657027942,-0.3558362662191005
重庆,2018,0.4638285330337155,0.641754576,0.409,0.6661,0.0201,0.2564,0.306731459,0.4530726615560049,0.010755871477710637,0.2290883424494099
陕西,2018,0.3699216684108768,0.703685032,0.4975,0.5965,0.0218,0.1438,0.397156775,0.36384068069349,0.006080987717386802,0.12951841229399658
青海,2018,0.9846025326725416,0.358926407,0.4352,0.5727,0.006,0.0168,0.236363451,0.9918590858276012,-0.007256553155059535,-0.1545566751735171
黑龙江,2018,0.3595193760240896,0.403762803,0.2464,0.6346,0.0083,0.1069,0.378213378,0.3253793630656829,0.03414001295840672,0.7271450756965966
上海,2019,0.5436378558908417,2.854096617,0.2699,0.8922,0.04,0.8925,0.133647517,0.5397023223095305,0.003935533581311192,0.08382257696783793
云南,2019,0.2973776032362906,0.379165677,0.3428,0.4867,0.0095,0.1001,0.482101378,0.30437005224660046,-0.006992449010309884,-0.14893154466874142
内蒙古,2019,0.3589967499378854,0.486750099,0.3962,0.6646,0.0086,0.0638,0.497306803,0.37001379608661084,-0.011017046148725453,-0.23465107835570428
北京,2019,1.003875560815787,1.859683542,0.4036,0.8735,0.0631,0.8111,0.012138103,1.0095076309421984,-0.00563207012641153,-0.11995695676470436
吉林,2019,0.3998092638600845,0.548710165,0.3526,0.6163,0.0127,0.1111,0.352469158,0.42461256169612244,-0.024803297836037977,-0.5282832172466976
四川,2019,0.4718986635871463,0.68763976,0.3725,0.5536,0.0187,0.1457,0.278343432,0.45788254164979,0.014016121937356374,0.2985281247411504
天津,2019,0.7436572293617392,2.014417112,0.3523,0.8431,0.0328,0.5208,0.222030143,0.7749474957019692,-0.03129026634022998,-0.6664485779268144
宁夏,2019,0.5164764874846156,0.757993559,0.4228,0.6363,0.0145,0.0642,0.539957083,0.539600468638218,-0.023123981153602414,-0.49251560176114234
安徽,2019,0.3712309785956912,1.029415308,0.4133,0.5702,0.0203,0.1276,0.38755022,0.3619205186724164,0.009310459923274757,0.1983026513179071
山东,2019,0.5572350089561109,1.121007815,0.3984,0.6186,0.021,0.288,0.2999599,0.5629328120411617,-0.0056978030850509025,-0.12135699715847399
山西,2019,0.3149347791209197,0.770228169,0.4377,0.6129,0.0112,0.085,0.532069395,0.3261677279678432,-0.01123294884692352,-0.2392495705711466
广东,2019,1.008269939701071,1.742510484,0.4044,0.7265,0.0288,0.6639,0.175507318,0.980040354399853,0.02822958530121799,0.6012594068357864
广西,2019,0.3436406449307456,0.499172611,0.3333,0.5298,0.0079,0.2211,0.387088101,0.3503327677950542,-0.006692122864308609,-0.142534925006241
新疆,2019,0.2978991031948449,0.631062331,0.3527,0.5551,0.0047,0.1207,0.283628755,0.29742880401676813,0.0004702991780767586,0.010016860036324963
江苏,2019,0.8610769025311493,1.680880814,0.4443,0.7247,0.0279,0.4354,0.317285609,0.8392683017980991,0.021808600733050187,0.46449943209426103
江西,2019,0.4302025914977265,0.568545003,0.4419,0.5907,0.0155,0.1418,0.42084364,0.4358209240103474,-0.005618332512620889,-0.11966436056001467
河北,2019,0.3031985730688279,0.922996462,0.3873,0.5877,0.0161,0.114,0.569807935,0.30233423723021297,0.0008643358386149248,0.018409411547753288
河南,2019,0.4077041583057455,0.990614922,0.4351,0.5401,0.0146,0.1053,0.318746078,0.3714585923466016,0.03624556595914391,0.7719910603179126
浙江,2019,0.6592451216775217,1.445630369,0.4261,0.7158,0.0268,0.4946,0.126272216,0.5871712375574923,0.07207388412002935,1.535095197182734
海南,2019,0.914694027616302,1.247611723,0.207,0.5937,0.0056,0.1706,0.097539964,0.917301168237019,-0.0026071406207170134,-0.05552925437704369
湖北,2019,0.4411500439428012,0.729901353,0.4167,0.6183,0.0209,0.0861,0.365798707,0.43427189413428297,0.006878149808518235,0.14649709621554113
湖南,2019,0.4656511792426026,0.559733908,0.376,0.5745,0.0198,0.1092,0.4520406,0.4694310442882277,-0.003779865045625122,-0.08050700678035884
甘肃,2019,0.4093129609704698,0.462002393,0.3283,0.507,0.0126,0.0436,0.320141132,0.4150851146042924,-0.005772153633822583,-0.12294058283199244
福建,2019,0.4420877963703216,1.392155418,0.4855,0.6787,0.0178,0.3139,0.277830743,0.4324236076619408,0.00966418870838077,0.20583668900369656
贵州,2019,0.3434189409041392,0.605872927,0.3613,0.5148,0.0086,0.027,0.458284778,0.35299788051837283,-0.009578939614233638,-0.20402097618916945
辽宁,2019,0.3655905333001583,0.858906763,0.3826,0.7121,0.0204,0.2914,0.34406616,0.4031824724837161,-0.037591939183557806,-0.8006673429360543
重庆,2019,0.465779980985918,0.674275148,0.4023,0.6824,0.0199,0.2454,0.28106942,0.45949916374551897,0.006280817240399026,0.1337745633919521
陕西,2019,0.3660688960612864,0.720031321,0.4645,0.6128,0.0227,0.1363,0.383462433,0.37247007546469435,-0.006401179403407977,-0.13633814631263697
青海,2019,1.001004613704661,0.369343457,0.391,0.5878,0.0069,0.0127,0.239388717,1.0000713271826385,0.0009332865220225911,0.01987798597292654
黑龙江,2019,0.3587990680883049,0.41452451,0.2656,0.6462,0.0108,0.1371,0.381421588,0.37167836151412026,-0.012879293425815336,-0.2743149161789369
上海,2020,0.5513503794221919,2.865317251,0.2659,0.893,0.0417,0.9011,0.140362444,0.5708957078937685,-0.01954532847157663,-0.4162941990764461
云南,2020,0.2877106104413493,0.428757989,0.338,0.5005,0.01,0.1098,0.465373114,0.31288873725160266,-0.02517812681025332,-0.5362666659689096
内蒙古,2020,0.3588784969018692,0.539418373,0.3956,0.6748,0.0093,0.0607,0.481107018,0.3818093519095868,-0.022930855007717646,-0.488402225291735
北京,2020,1.013318017353815,1.886219282,0.1583,0.8755,0.0644,0.6457,0.010624403,0.9408664998486226,0.07245151750519241,1.5431383768023346
吉林,2020,0.4094003991166074,0.599725883,0.3514,0.6264,0.013,0.1042,0.313532218,0.4350646415203326,-0.02566424240372519,-0.5466203984189542
四川,2020,0.5013044151386656,0.711758234,0.3616,0.5673,0.0217,0.1664,0.258091057,0.4836299721143007,0.017674443024364946,0.37644637764211386
天津,2020,0.7660634819090113,2.035129919,0.3411,0.847,0.0344,0.5231,0.227009038,0.797937098147887,-0.03187361623887571,-0.6788732951266918
宁夏,2020,0.5063453055739613,0.808717012,0.4104,0.6496,0.0152,0.0315,0.524535009,0.530613565263437,-0.024268259689475668,-0.5168874877237883
安徽,2020,0.360467642671163,1.066999188,0.4052,0.5833,0.0228,0.1409,0.399026252,0.3803399708249971,-0.019872328153834093,-0.4232589359966562
山东,2020,0.5801414610347297,1.179364949,0.2819,0.6305,0.023,0.3026,0.302354313,0.5768209969751636,0.0033204640595660695,0.07072226635890787
山西,2020,0.3189726431151333,0.818521391,0.4348,0.6253,0.012,0.0852,0.528212005,0.33321600180962746,-0.014243358694494175,-0.3033680200619666
广东,2020,1.013431330409168,1.828313946,0.3923,0.7415,0.0314,0.6399,0.173120933,0.9884959712151925,0.024935359193975465,0.5310959802714528
广西,2020,0.3361513521119303,0.572866091,0.3208,0.542,0.0078,0.2198,0.427856273,0.34855707240329925,-0.012405720291368948,-0.2642283244393723
新疆,2020,0.2949918227551737,0.662339492,0.3439,0.5653,0.0045,0.1075,0.262480438,0.2950449406934214,-5.31179382476793e-05,-0.0011313542052548025
江苏,2020,0.9111516786039356,1.734346402,0.4306,0.7344,0.0293,0.4333,0.298029367,0.8565683679002738,0.05458331070366188,1.1625650418393207
江西,2020,0.4266429592331111,0.623416793,0.4315,0.6044,0.0168,0.1567,0.40694431,0.45220923469064056,-0.025566275457529482,-0.5445338092136709
河北,2020,0.3111355498630635,0.985940229,0.3755,0.6007,0.0175,0.1231,0.572171276,0.3171301932766347,-0.005994643413571208,-0.1276793727069153
河南,2020,0.4004145735663523,1.039442305,0.4159,0.5543,0.0164,0.1214,0.331796639,0.3852120989554668,0.015202474610885496,0.3237961439902108
浙江,2020,0.6638059260190341,1.522627103,0.4088,0.7217,0.0288,0.5239,0.113531227,0.6328068228136099,0.03099910320542419,0.6602471204183966
海南,2020,0.9681280337201268,1.25154021,0.1907,0.6027,0.0066,0.1692,0.090213841,0.9232191038568471,0.04490892986327971,0.9565112715297475
湖北,2020,0.4132496568315555,0.76171679,0.3919,0.6289,0.0231,0.0991,0.368958084,0.45417425624970126,-0.04092459941814575,-0.87164937453349
湖南,2020,0.4830879453257223,0.567100637,0.3815,0.5876,0.0215,0.1169,0.447367065,0.47820139146720214,0.004886553858520146,0.104078272602828
甘肃,2020,0.4074829682568279,0.492763806,0.3163,0.5223,0.0122,0.0424,0.314295913,0.4044998465442669,0.0029831217125610016,0.06353724194935312
福建,2020,0.4587079358149891,1.425260825,0.463,0.6875,0.0192,0.3211,0.258692787,0.45140735927722847,0.007300576537760636,0.15549432525542037
贵州,2020,0.341185399003432,0.582417501,0.3484,0.5315,0.0091,0.0307,0.444596745,0.33952085465340576,0.0016645443500261925,0.03545298090175748
辽宁,2020,0.3649711285483724,0.864012434,0.3743,0.7214,0.0219,0.2616,0.344010249,0.3988327053049803,-0.03386157675660788,-0.7212146879934526
重庆,2020,0.4611495741756552,0.703892989,0.3996,0.6946,0.0211,0.2605,0.295658934,0.4705441928653093,-0.009394618689654056,-0.20009514133904288
陕西,2020,0.3606692059459596,0.740290689,0.434,0.6266,0.0242,0.1443,0.401887188,0.3747474265331659,-0.014078220587206296,-0.2998507583177918
青海,2020,1.068106944398195,0.393029254,0.3804,0.6008,0.0071,0.0077,0.232141539,0.995246143436588,0.07286080096160699,1.5518556684524147
黑龙江,2020,0.3572519107120143,0.460408338,0.2543,0.6561,0.0126,0.1124,0.324169528,0.3851682222765599,-0.027916311564545594,-0.5945870176002008
上海,2021,0.6366619826711226,2.866260881,0.2649,0.893,0.0421,0.9396,0.129882817,0.6164423471588235,0.02021963551229912,0.4306562042920354
云南,2021,0.2938250096288113,0.2841577,0.3532,0.5105,0.0104,0.1159,0.436443066,0.30330131428702467,-0.009476304658213353,-0.20183496346107208
内蒙古,2021,0.3778563397343704,0.343528085,0.457,0.6821,0.0093,0.0603,0.440263551,0.3684867231210366,0.009369616613333825,0.19956262435668035
