province,year,eff,lntl,ind,urb,rd,open,es,fitted,resid,std_resid
新疆,2020,0.294991823,0.326874367,0.3439,0.5653,0.0045,0.1075,0.262480438,0.28853643121587014,0.006455391784129821,0.13683414265918292
江苏,2020,0.911151679,1.58700043,0.4306,0.7344,0.0293,0.4333,0.298029367,0.8589648422529923,0.05218683674700773,1.106197935488144
江西,2020,0.426642959,0.475369569,0.4315,0.6044,0.0168,0.1567,0.40694431,0.4501723158838628,-0.0235293568838628,-0.4987488729097027
河北,2020,0.31113555,0.779476728,0.3755,0.6007,0.0175,0.1231,0.572171276,0.31436161666608414,-0.0032260666660841363,-0.06838253682762246
河南,2020,0.400414574,0.874790499,0.4159,0.5543,0.0164,0.1214,0.331796639,0.3859279051929874,0.014486668807012621,0.30707213016387136
浙江,2020,0.663805926,1.317371898,0.4088,0.7217,0.0288,0.5239,0.113531227,0.6330692329345016,0.03073669306549847,0.6515218881270226
海南,2020,0.968128034,0.760414449,0.1907,0.6027,0.0066,0.1692,0.090213841,0.9334785953967207,0.034649438603279265,0.7344598722199508
湖北,2020,0.413249657,0.592618523,0.3919,0.6289,0.0231,0.0991,0.368958084,0.4567667248116163,-0.04351706781161632,-0.9224259137428493
湖南,2020,0.483087945,0.504442821,0.3815,0.5876,0.0215,0.1169,0.447367065,0.48379944448118684,-0.0007114994811868273,-0.01508156666029139
甘肃,2020,0.407482968,0.33415703,0.3163,0.5223,0.0122,0.0424,0.314295913,0.40283491890296824,0.004648049097031776,0.09852412285707093
福建,2020,0.458707936,0.865206864,0.463,0.6875,0.0192,0.3211,0.258692787,0.4543753902067676,0.0043325457932324035,0.09183643827878375
贵州,2020,0.341185399,0.520272355,0.3484,0.5315,0.0091,0.0307,0.444596745,0.347972959661196,-0.006787560661195995,-0.14387508533645796
辽宁,2020,0.364971129,0.783250935,0.3743,0.7214,0.0219,0.2616,0.344010249,0.40164686122751564,-0.03667573222751565,-0.7774109680046855
重庆,2020,0.461149574,0.674275149,0.3996,0.6946,0.0211,0.2605,0.295658934,0.4735668377222502,-0.012417263722250237,-0.26320720607294923
陕西,2020,0.360669206,0.619673731,0.434,0.6266,0.0242,0.1443,0.401887188,0.3751249349894405,-0.014455728989440458,-0.30641630267065406
青海,2020,1.068106944,0.259306764,0.3804,0.6008,0.0071,0.0077,0.232141539,0.9919881661065051,0.07611877789349489,1.6134803373092466
黑龙江,2020,0.357251911,0.396376236,0.2543,0.6561,0.0126,0.1124,0.324169528,0.3782353511447823,-0.020983440144782314,-0.44478339011279755
上海,2021,0.636661983,2.865317251,0.2649,0.893,0.0421,0.9396,0.129882817,0.6032877106130251,0.03337427238697485,0.707430331366221
云南,2021,0.29382501,0.417952028,0.3532,0.5105,0.0104,0.1159,0.436443066,0.31227567931391687,-0.018450669313916854,-0.39109655950931965
内蒙古,2021,0.37785634,0.346469787,0.457,0.6821,0.0093,0.0603,0.440263551,0.38666293390788353,-0.00880659390788353,-0.18667228379466375
北京,2021,1.008502412,1.886219282,0.1805,0.875,0.0653,0.7558,0.006822178,1.0150411900272711,-0.006538778027271302,-0.13860167056010483
吉林,2021,0.426533712,0.569343888,0.3603,0.6336,0.0139,0.1137,0.288922642,0.4422398085926144,-0.015706096592614426,-0.3329201903835189
四川,2021,0.563014035,0.466213776,0.3696,0.5782,0.0226,0.1768,0.237300561,0.48532294841410406,0.07769108658589599,1.6468083705432954
天津,2021,0.934219288,2.035129919,0.373,0.8488,0.0366,0.5459,0.187630349,0.844135468366051,0.09008381963394896,1.9094956029438666
宁夏,2021,0.506620608,0.710998174,0.447,0.6604,0.0156,0.0473,0.52969012,0.5340671018424571,-0.027446493842457162,-0.5817799414074468
安徽,2021,0.375635589,0.902303371,0.41,0.5939,0.0234,0.1609,0.37446378,0.3942015384685719,-0.01856594946857191,-0.3935401387149416
山东,2021,0.628605952,1.172347973,0.3994,0.6394,0.0234,0.3528,0.273702857,0.6142950933781387,0.014310858621861301,0.30334550337491717
