province,year,eff,lntl,ind,urb,rd,open,es_proxy
海南,2017,0.62163628,1.212201955,0.2233 ,0.5804,0.0052,0.1575 ,0.4502281840552539
湖北,2017,0.394184258,0.651975419,0.4352 ,0.5988,0.0197,0.0884 ,0.6833863318209397
湖南,2017,0.27463893,0.524222134,0.4175 ,0.5462,0.0168,0.0718 ,0.726990318864026
甘肃,2017,0.272446653,0.445784714,0.3434 ,0.4812,0.0119,0.0437 ,0.7545704522748282
福建,2017,0.496569163,1.322871989,0.4771 ,0.6578,0.0169,0.3601 ,0.6512479876262871
贵州,2017,0.261474698,0.561774114,0.4009 ,0.4776,0.0071,0.0407 ,0.7487792777425551
辽宁,2017,0.468847547,0.809513352,0.3930 ,0.6949,0.0184,0.2883 ,0.7948892337684231
重庆,2017,0.31563025,0.627281839,0.4419 ,0.65,0.0188,0.2321 ,0.6351176808003607
陕西,2017,0.327505715,0.667160257,0.4970 ,0.5807,0.021,0.1242 ,0.7754551606863507
青海,2017,1.012754363,0.360255076,0.4429 ,0.5545,0.0068,0.0170 ,0.6002973124400579
黑龙江,2017,0.353283391,0.414024517,0.2553 ,0.619,0.0092,0.0806 ,0.7935059107734539
上海,2018,0.450805617,2.846855368,0.2978 ,0.8913,0.0416,1.0408 ,0.48898487238471977
云南,2018,0.446704538,0.394387997,0.3891 ,0.4744,0.0105,0.1102 ,0.6442501121634796
内蒙古,2018,0.487656012,0.455073816,0.3937 ,0.6551,0.0075,0.0598 ,0.9380080521155971
北京,2018,1.038301246,1.714485944,0.1863 ,0.8709,0.0617,0.8966 ,0.04941525354508988
吉林,2018,0.539288045,0.491865136,0.4253 ,0.6085,0.0076,0.0904 ,0.8388634180907907
四川,2018,0.385623306,0.636037194,0.3767 ,0.535,0.0181,0.1462 ,0.5104058693553187
天津,2018,0.750235504,1.964186177,0.4046 ,0.8395,0.0262,0.4296 ,0.6570634235356532
宁夏,2018,0.551430815,0.76293772,0.4454 ,0.6215,0.0123,0.0672 ,0.9301803582865139
安徽,2018,0.246762715,1.00809717,0.4613 ,0.5565,0.0216,0.1380 ,0.7659195619999616
山东,2018,0.68174341,1.063354876,0.4399 ,0.6146,0.0215,0.2524 ,0.8349021743511286
山西,2018,0.289952453,0.710881286,0.4215 ,0.5985,0.0105,0.0814 ,0.9041636961502364
广东,2018,0.716150726,1.704219573,0.4183 ,0.7181,0.0278,0.7361 ,0.5855206311262101
广西,2018,0.369863974,0.501536567,0.3967 ,0.5182,0.0071,0.2017 ,0.6962986283988816
新疆,2018,0.378707308,0.592943512,0.4036 ,0.5401,0.0053,0.1087 ,0.8251322173578594
江苏,2018,0.716119739,1.647892731,0.4455 ,0.7119,0.027,0.4730 ,0.7730878435572395
江西,2018,0.248448809,0.540922483,0.4662 ,0.5734,0.0141,0.1438 ,0.7262739563552008
河北,2018,0.520532512,0.854078073,0.4454 ,0.5733,0.0139,0.0987 ,0.8999160771296802
河南,2018,0.757299569,0.914965962,0.4585 ,0.5224,0.014,0.1147 ,0.7628217374438871
浙江,2018,0.551110488,1.403207585,0.4183 ,0.7002,0.0257,0.5073 ,0.6542416351230517
海南,2018,0.498858279,1.24570646,0.2268 ,0.5913,0.0056,0.1755 ,0.4757486811299539
湖北,2018,0.462690093,0.688812931,0.4341 ,0.61,0.0209,0.0885 ,0.666262326662474
湖南,2018,0.318690606,0.541396487,0.3968 ,0.5609,0.0181,0.0844 ,0.7083549193658898
甘肃,2018,0.259337,0.461733585,0.3389 ,0.4969,0.0118,0.0480 ,0.7742261338165367
福建,2018,0.576683082,1.368982464,0.4813 ,0.6698,0.018,0.3448 ,0.677669090543481
贵州,2018,0.284912839,0.550188723,0.3887 ,0.4954,0.0082,0.0338 ,0.7158914460597643
辽宁,2018,0.446750166,0.830655994,0.3960 ,0.7026,0.0182,0.2985 ,0.7937533284677256
重庆,2018,0.337152147,0.641754576,0.4090 ,0.6661,0.0201,0.2564 ,0.6267027167353332
陕西,2018,0.334099657,0.703685032,0.4975 ,0.5965,0.0218,0.1438 ,0.7762203533524105
青海,2018,1.000030488,0.358926407,0.4352 ,0.5727,0.006,0.0168 ,0.5795794205824721
黑龙江,2018,0.368353011,0.403762803,0.2464 ,0.6346,0.0083,0.1069 ,0.8051855291340254
上海,2019,0.464063484,2.854096617,0.2699 ,0.8922,0.04,0.8925 ,0.4717531769346197
云南,2019,0.446211256,0.379165677,0.3428 ,0.4867,0.0095,0.1001 ,0.6362672238726397
内蒙古,2019,0.478343141,0.486750099,0.3962 ,0.6646,0.0086,0.0638 ,0.9411225894853739
北京,2019,0.910177002,1.859683542,0.4036 ,0.8735,0.0631,0.8111 ,0.03302797712472632
吉林,2019,1.015555917,0.548710165,0.3526 ,0.6163,0.0127,0.1111 ,0.843808263899675
四川,2019,0.428390384,0.68763976,0.3725 ,0.5536,0.0187,0.1457 ,0.505467661235122
天津,2019,0.935884759,2.014417112,0.3523 ,0.8431,0.0328,0.5208 ,0.6542526846645471
宁夏,2019,0.548932591,0.757993559,0.4228 ,0.6363,0.0145,0.0642 ,0.9252368728799866
安徽,2019,0.244520098,1.029415308,0.4133 ,0.5702,0.0203,0.1276 ,0.7593173085406247
山东,2019,0.73451649,1.121007815,0.3984 ,0.6186,0.021,0.2880 ,0.8242690840102154
山西,2019,0.293942091,0.770228169,0.4377 ,0.6129,0.0112,0.0850 ,0.8974714257465584
广东,2019,0.814637171,1.742510484,0.4044 ,0.7265,0.0288,0.6639 ,0.5780886888713918
广西,2019,0.366922175,0.499172611,0.3333 ,0.5298,0.0079,0.2211 ,0.7223316532299497
新疆,2019,0.365386524,0.631062331,0.3527 ,0.5551,0.0047,0.1207 ,0.8367563774545929
江苏,2019,0.803317288,1.680880814,0.4443 ,0.7247,0.0279,0.4354 ,0.7767177587570944
江西,2019,0.251746782,0.568545003,0.4419 ,0.5907,0.0155,0.1418 ,0.7171900780992813
河北,2019,0.589609124,0.922996462,0.3873 ,0.5877,0.0161,0.1140 ,0.8945409128473661
河南,2019,0.836088175,0.990614922,0.4351 ,0.5401,0.0146,0.1053 ,0.7483240596743941
浙江,2019,0.606442444,1.445630369,0.4261 ,0.7158,0.0268,0.4946 ,0.642675105149437
海南,2019,0.514625066,1.247611723,0.2070 ,0.5937,0.0056,0.1706 ,0.4531645164407374
湖北,2019,0.505182455,0.729901353,0.4167 ,0.6183,0.0209,0.0861 ,0.651675220306257
湖南,2019,0.361288077,0.559733908,0.3760 ,0.5745,0.0198,0.1092 ,0.6858570347419903
甘肃,2019,0.257574688,0.462002393,0.3283 ,0.507,0.0126,0.0436 ,0.7653450440437524
福建,2019,0.654246398,1.392155418,0.4855 ,0.6787,0.0178,0.3139 ,0.6625124956884827
贵州,2019,0.291097372,0.605872927,0.3613 ,0.5148,0.0086,0.0270 ,0.7172703300114625
辽宁,2019,0.448906689,0.858906763,0.3826 ,0.7121,0.0204,0.2914 ,0.7929033863048868
重庆,2019,0.338509507,0.674275148,0.4023 ,0.6824,0.0199,0.2454 ,0.5954844015514268
陕西,2019,0.347751421,0.720031321,0.4645 ,0.6128,0.0227,0.1363 ,0.7763122355975925
青海,2019,1.000642085,0.369343457,0.3910 ,0.5878,0.0069,0.0127 ,0.5652649357147032
黑龙江,2019,0.438821721,0.41452451,0.2656 ,0.6462,0.0108,0.1371 ,0.8156926837568536
上海,2020,0.560298312,2.863517251,0.2659 ,0.893,0.0417,0.9011 ,0.4991354923147826
云南,2020,0.52893774,0.428757989,0.3380 ,0.5005,0.01,0.1098 ,0.6597626537121827
内蒙古,2020,0.468954323,0.539418373,0.3956 ,0.6748,0.0093,0.0607 ,0.9403592115250654
北京,2020,1.04127863,1.886219282,0.1583 ,0.8755,0.0644,0.6457 ,0.028422266145837045
吉林,2020,0.908127919,0.599725883,0.3514 ,0.6264,0.013,0.1042 ,0.8427401922808301
四川,2020,0.54719613,0.711758234,0.3616 ,0.5673,0.0217,0.1664 ,0.49982539453031477
天津,2020,1.021638421,2.035129919,0.3411 ,0.847,0.0344,0.5231 ,0.6642273945930427
宁夏,2020,0.539478352,0.808717012,0.4104 ,0.6496,0.0152,0.0315 ,0.925717523059861
安徽,2020,0.283380091,1.066999188,0.4052 ,0.5833,0.0228,0.1409 ,0.7601258147136712
山东,2020,0.767725424,1.179364949,0.2819 ,0.6305,0.023,0.3026 ,0.81829063555056
山西,2020,0.295437985,0.818521391,0.4348 ,0.6253,0.012,0.0852 ,0.9032005566734478
广东,2020,1.005531847,1.828313946,0.3923 ,0.7415,0.0314,0.6399 ,0.5757990362390374
广西,2020,0.371740674,0.572866091,0.3208 ,0.542,0.0078,0.2198 ,0.7423745403421114
新疆,2020,0.380127878,0.662339492,0.3439 ,0.5653,0.0045,0.1075 ,0.8526382350516094
江苏,2020,0.903295013,1.734346402,0.4306 ,0.7344,0.0293,0.4333 ,0.7733660912582959
江西,2020,0.267935094,0.623416793,0.4315 ,0.6044,0.0168,0.1567 ,0.725805106734952
河北,2020,0.630223207,0.985940229,0.3755 ,0.6007,0.0175,0.1231 ,0.8937882603821415
河南,2020,0.921994713,1.039442305,0.4159 ,0.5543,0.0164,0.1214 ,0.7478284885743414
浙江,2020,0.682804543,1.522627103,0.4088 ,0.7217,0.0288,0.5239 ,0.6084396049679575
海南,2020,0.768165019,1.25154021,0.1907 ,0.6027,0.0066,0.1692 ,0.4393714115880213
湖北,2020,0.603356127,0.76171679,0.3919 ,0.6289,0.0231,0.0991 ,0.6462078100924906
湖南,2020,0.420229795,0.567100637,0.3815 ,0.5876,0.0215,0.1169 ,0.6788873819361702
甘肃,2020,0.258811917,0.492763806,0.3163 ,0.5223,0.0122,0.0424 ,0.7748649046824478
福建,2020,0.745842872,1.425260825,0.4630 ,0.6875,0.0192,0.3211 ,0.6842633040394992
贵州,2020,0.312239372,0.582417501,0.3484 ,0.5315,0.0091,0.0307 ,0.7040978489775637
辽宁,2020,0.446001483,0.864012434,0.3743 ,0.7214,0.0219,0.2616 ,0.8020694377680845
重庆,2020,0.354272931,0.703892989,0.3996 ,0.6946,0.0211,0.2605 ,0.5975798082908932
陕西,2020,0.385059213,0.740290689,0.4340 ,0.6266,0.0242,0.1443 ,0.8061928164924608
青海,2020,1.084469078,0.393029254,0.3804 ,0.6008,0.0071,0.0077 ,0.5690302501743619
黑龙江,2020,0.461025152,0.460408338,0.2543 ,0.6561,0.0126,0.1124 ,0.8111826466820974
上海,2021,0.587942623,2.866260881,0.2649 ,0.893,0.0421,0.9396 ,0.520414227711119
云南,2021,0.612748036,0.2841577,0.3532 ,0.5105,0.0104,0.1159 ,0.6700229568963108
内蒙古,2021,0.42476719,0.343528085,0.4570 ,0.6821,0.0093,0.0603 ,0.9376888763912667
北京,2021,0.878245542,1.893791737,0.1805 ,0.875,0.0653,0.7558 ,0.027330101579534943
吉林,2021,0.775645038,0.427538332,0.3603 ,0.6336,0.0139,0.1137 ,0.8339603326920736
四川,2021,0.585647966,0.590758239,0.3696 ,0.5782,0.0226,0.1768 ,0.5009817584323264
天津,2021,0.980614581,2.082668701,0.3730 ,0.8488,0.0366,0.5459 ,0.63187003781187
宁夏,2021,0.506562041,0.690231123,0.4470 ,0.6604,0.0156,0.0473 ,0.9324648872460995
安徽,2021,0.313121995,1.033685486,0.4100 ,0.5939,0.0234,0.1609 ,0.7503522654785773
山东,2021,0.767350103,1.15797482,0.3994 ,0.6394,0.0234,0.3528 ,0.8111209646882974
山西,2021,0.262538141,0.731825661,0.4964 ,0.6342,0.0112,0.0988 ,0.9043055742935642
广东,2021,0.915864861,1.943741021,0.4038 ,0.7463,0.0322,0.6648 ,0.6032284559273269
广西,2021,0.367929164,0.474314164,0.3309 ,0.5508,0.0081,0.2398 ,0.7396150413009562
新疆,2021,0.369816263,0.438465709,0.3733 ,0.5726,0.0049,0.0982 ,0.8567201997241425
江苏,2021,0.923719513,1.751566568,0.4449 ,0.7394,0.0295,0.4478 ,0.7800863321318445
江西,2021,0.26808595,0.5542652,0.4451 ,0.6146,0.017,0.1680 ,0.7151805013225795
河北,2021,0.639110329,0.930924525,0.4051 ,0.6114,0.0185,0.1341 ,0.8788899773876784
河南,2021,1.018383271,1.006082929,0.4132 ,0.5645,0.0173,0.1393 ,0.7421140743372815
浙江,2021,0.685515224,1.580349151,0.4242 ,0.7266,0.0294,0.5634 ,0.6340050858127172
海南,2021,0.473327202,1.380214146,0.1913 ,0.6097,0.0073,0.2268 ,0.4284916148241264
湖北,2021,0.599246198,0.719590632,0.3790 ,0.6409,0.0232,0.1074 ,0.6407200065739476
