province,year,ind,urb,rd,open,es,eff,lntl_1,lntl
云南,2020,0.338,0.5005,0.01,0.1098,0.465373114,0.28771061,0.417952028,0.367286519
内蒙古,2020,0.3956,0.6748,0.0093,0.0607,0.481107018,0.358878497,0.346469787,0.302753348
北京,2020,0.1583,0.8755,0.0644,0.6457,0.010624403,1.013318017,1.886219282,1.859683542
吉林,2020,0.3514,0.6264,0.013,0.1042,0.313532218,0.409400399,0.569343888,0.521887177
四川,2020,0.3616,0.5673,0.0217,0.1664,0.258091057,0.501304415,0.466213776,0.442005887
天津,2020,0.3411,0.847,0.0344,0.5231,0.227009038,0.766063482,2.035129919,2.014417112
宁夏,2020,0.4104,0.6496,0.0152,0.0315,0.524535009,0.506345306,0.710998174,0.662347369
安徽,2020,0.4052,0.5833,0.0228,0.1409,0.399026252,0.360467643,0.902303371,0.859073852
山东,2020,0.2819,0.6305,0.023,0.3026,0.302354313,0.580141461,1.172347973,1.112607556
山西,2020,0.4348,0.6253,0.012,0.0852,0.528212005,0.318972643,0.731346492,0.686476063
广东,2020,0.3923,0.7415,0.0314,0.6399,0.173120933,1.01343133,1.25054591,1.170293791
广西,2020,0.3208,0.542,0.0078,0.2198,0.427856273,0.336151352,0.513319342,0.448550708
新疆,2020,0.3439,0.5653,0.0045,0.1075,0.262480438,0.294991823,0.379428943,0.326874367
江苏,2020,0.4306,0.7344,0.0293,0.4333,0.298029367,0.911151679,1.64206195,1.58700043
江西,2020,0.4315,0.6044,0.0168,0.1567,0.40694431,0.426642959,0.525219539,0.475369569
河北,2020,0.3755,0.6007,0.0175,0.1231,0.572171276,0.31113555,0.838026611,0.779476728
河南,2020,0.4159,0.5543,0.0164,0.1214,0.331796639,0.400414574,0.922532937,0.874790499
浙江,2020,0.4088,0.7217,0.0288,0.5239,0.113531227,0.663805926,1.343732995,1.317371898
海南,2020,0.1907,0.6027,0.0066,0.1692,0.090213841,0.968128034,0.826254556,0.760414449
湖北,2020,0.3919,0.6289,0.0231,0.0991,0.368958084,0.413249657,0.61817342,0.592618523
湖南,2020,0.3815,0.5876,0.0215,0.1169,0.447367065,0.483087945,0.511498419,0.504442821
甘肃,2020,0.3163,0.5223,0.0122,0.0424,0.314295913,0.407482968,0.361094533,0.33415703
福建,2020,0.463,0.6875,0.0192,0.3211,0.258692787,0.458707936,0.907471444,0.865206864
贵州,2020,0.3484,0.5315,0.0091,0.0307,0.444596745,0.341185399,0.494499485,0.520272355
辽宁,2020,0.3743,0.7214,0.0219,0.2616,0.344010249,0.364971129,0.800866327,0.783250935
重庆,2020,0.3996,0.6946,0.0211,0.2605,0.295658934,0.461149574,0.703892987,0.674275149
陕西,2020,0.434,0.6266,0.0242,0.1443,0.401887188,0.360669206,0.644855834,0.619673731
青海,2020,0.3804,0.6008,0.0071,0.0077,0.232141539,1.068106944,0.279937024,0.259306764
黑龙江,2020,0.2543,0.6561,0.0126,0.1124,0.324169528,0.357251911,0.44095911,0.396376236
上海,2021,0.2649,0.893,0.0421,0.9396,0.129882817,0.636661983,2.866260881,2.865317251
云南,2021,0.3532,0.5105,0.0104,0.1159,0.436443066,0.29382501,0.270146153,0.417952028
内蒙古,2021,0.457,0.6821,0.0093,0.0603,0.440263551,0.37785634,0.087691431,0.346469787
北京,2021,0.1805,0.875,0.0653,0.7558,0.006822178,1.008502412,1.893791737,1.886219282
吉林,2021,0.3603,0.6336,0.0139,0.1137,0.288922642,0.426533712,0.388779657,0.569343888
四川,2021,0.3696,0.5782,0.0226,0.1768,0.237300561,0.563014035,0.312915807,0.466213776
天津,2021,0.373,0.8488,0.0366,0.5459,0.187630349,0.934219288,2.0826687,2.035129919
宁夏,2021,0.447,0.6604,0.0156,0.0473,0.52969012,0.506620608,0.576887063,0.710998174
安徽,2021,0.41,0.5939,0.0234,0.1609,0.37446378,0.375635589,0.840387408,0.902303371
山东,2021,0.3994,0.6394,0.0234,0.3528,0.273702857,0.628605952,1.157670564,1.172347973
山西,2021,0.4964,0.6342,0.0112,0.0988,0.524693696,0.331203895,0.619659847,0.731346492
广东,2021,0.4038,0.7463,0.0322,0.6648,0.134536747,1.000776422,1.313970829,1.25054591
广西,2021,0.3309,0.5508,0.0081,0.2398,0.417705872,0.342010929,0.388567755,0.513319342
新疆,2021,0.3733,0.5726,0.0049,0.0982,0.260371797,0.293432739,0.100402429,0.379428943
江苏,2021,0.4449,0.7394,0.0295,0.4478,0.276667885,1.004446656,1.650302754,1.64206195
江西,2021,0.4451,0.6146,0.017,0.168,0.376376705,0.433660894,0.434464382,0.525219539
河北,2021,0.4051,0.6114,0.0185,0.1341,0.50799217,0.334956893,0.756999651,0.838026611
河南,2021,0.4132,0.5645,0.0173,0.1393,0.301839563,0.426221931,0.873223853,0.922532937
浙江,2021,0.4242,0.7266,0.0294,0.5634,0.115393079,0.689268565,1.430081136,1.343732995
海南,2021,0.1913,0.6097,0.0073,0.2268,0.03046925,0.724941016,0.835736808,0.826254556
湖北,2021,0.379,0.6409,0.0232,0.1074,0.352478012,0.473383513,0.538890559,0.61817342
湖南,2021,0.3935,0.5971,0.0223,0.1296,0.347814285,0.534799341,0.381412837,0.511498419
甘肃,2021,0.3384,0.5333,0.0126,0.048,0.302220278,0.411361613,0.149724154,0.361094533
福建,2021,0.4685,0.697,0.0198,0.3776,0.235925973,0.492263199,0.909529063,0.907471444
贵州,2021,0.3566,0.5433,0.0092,0.0334,0.374725974,0.343889368,0.357599693,0.494499485
辽宁,2021,0.3943,0.7281,0.0218,0.28,0.327577125,0.395099132,0.688459993,0.800866327
重庆,2021,0.401,0.7032,0.0216,0.2868,0.248748211,0.463735673,0.592985577,0.703892987
